ssdl:pid,ssdl:scoringSummary,ssdl:totalScoring,ssdl:dimensions
1850-Missou-EMU,"V (4), Coro, org (pf)","Treble (2)
T
B
Coro: S
Coro: A
Coro: T
Coro: B
tr
org (pf)",14.5 x 23.5 cm
1850-Missou-EMU,"V (4), Coro, org (pf)","Treble (2)
T
B
Coro: S
Coro: A
Coro: T
Coro: B
tr
org (pf)",14.5 x 23.5 cm
1852-Collec-EMU,Nil,Nil,12.5 x 7.5 cm
1852-Peters-EMU,"V (4), Coro, org","S (2)
A
T
B
Coro: S (2)
Coro: T
Coro: B
org (pf)",25 x 18 cm
1852-Reviva-EMU,Nil,Nil,11.5 x 6.5 cm
1853-Temple-EMU,"V (3), Coro, org","Treble
Alto
Bass 
S 
A 
T
B
org (pf)",18 x 13 cm
1853-Wester-EMU,Coro,"Coro: Treble
Coro: T
Coro: B",15 x 24.5 cm
1885-Gospel-EMU,"V (2), Coro, keyb","Soprano
Tenor
Coro: S
Coro: A
Coro: T
Coro: B
keyb",21 x 14.5 cm
1855-Sacred-EMU,Coro,"Coro: Treble
Coro: T
Coro: B",17 x 12 cm
1855-Vocalm-EMU,"Coro, pf","Coro: S (2)
Coro: A
Coro: T (2)
Coro: Bariton
Coro: B
pf",19.5 x 13 cm
1857-Hymnss-EMU,Nil,Nil,13.5 x 8 cm
1857-Kirche-EMU,Nil,Nil,15 x 9.5 cm
1858-Sacred-EMU,Nil,Nil,11.5 x 7.5 cm
1859-Songso-EMU,Nil,Nil,19.5 x 13 cm
1859-Southe-EMU,Nil,Nil,15.5 x 9 cm
1859-Wesley-EMU,Coro,"Coro: S
Coro: A
Coro: T
Coro: B",23.5 x 15.5 cm
1860-Evange-EMU,Nil,Nil,
1860-Hymnis-EMU,"Coro, keyb","Coro: S
Coro: A
Coro: T
Coro: B
keyb",14.5 x 9.5 cm
1860-Oriola-EMU,"Coro di fanciulli, Coro, melodeon (pf)","Coro di fanciulli 1: S
Coro di fanciulli 1: A
Coro di fanciulli 2: S
Coro di fanciulli 2: A
Coro: S
Coro: A
Coro: T
Coro: B
melodeon (pf)",13 x 16.5 cm
1860-Unionh-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",13.5 x 9.5 cm
1861-Psalms-EMU,Nil,Nil,13.5 x 9 cm
1869-Specim-EMU,Nil,Nil,13 x 8 cm
1862-Hymnsf-EMU,Nil,Nil,11 x 7.5 cm
1864-Confed-EMU,Nil,Nil,10.5 x 7 cm
1865-Musica-EMU,"V (2) Coro di fanciulli, Coro, keyb","Treble
Alto
Coro di fanciulli 1: Treble
Coro di fanciulli 1: A
Coro di fanciulli 2: Treble
Coro di fanciulli 2: A
Coro Treble
Coro A
Coro T
Coro B
keyb",
1867-Golden-EMU,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro di fanciulli A
Coro S
Coro A
Coro T
Coro B
keyb",12 x 16 cm
1867-Violet-EMU,"V (2), Coro di fanciulli, Coro, keyb","Treble
Counter
Coro di fanciulli Treble
Coro di fanciulli Counter
Coro Treble
Coro Counter
Coro T
Coro B
keyb",12.5 x 15.5 cm
1868-Chapel-EMU,"Coro di fanciulli, Coro, keyb","Coro di fanciulli S
Coro di fanciulli A
Coro S
Coro A
Coro T
Coro B
keyb",16 x 12.5 cm
1868-Eclect-EMU,Nil,Nil,14 x 9 cm
1868-Hymnsa-EMU,"S, Coro, keyb","S
Coro S
Coro A
Coro T
Coro B
keyb",17 x 11 cm
1868-School-EMU,Nil,Nil,12.5 x 8.5 cm
1868-Shinin-EMU,"S, A, Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",19 x 12.5 cm
1869-Songsf-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",22.5 x 15 cm
1871-Christ-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",18 x 12.5 cm
1871-Kindwo-EMU,"Coro, Coro di fanciulli","Coro di fanciulli S
Coro di fanciulli A
Coro T
Coro B",12 x 16 cm
1872-Harfen-EMU,"S (2), A, Coro, keyb","S (2)
A 
B
Coro di fanciuli 1: S
Coro di fanciuli 2: S
Coro S
Coro di fanciuli 1: A
Coro di fanciuli 2: A
Coro: A
Coro T
Coro B
keyb",20 x 13 cm
1872-Newhar-EMU,Coro,"S
(A)
Coro S
Coro A
Coro T
Coro B",16 x 24.5 cm
1873-Fruits-EMU,"S, Coro di fanciulli, (keyb)","S
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro: B
(keyb)",14 x 18 cm
1873-Hymnsf-EMU,Nil,Nil,11.5 x 7 cm
1873-Songsf-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",13 x 17 cm
1874-Bookof-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",23.5 x 16 cm
1874-Contri-EMU,"Coro, keyb","Coro S
Coro A
Coro T
Coro B
keyb",17.5 x 14 cm
1874-Everys-EMU,"V (6), Coro, keyb","S (2)
A
T
Bariton
Bass
Coro: S
Coro: A
Coro: T
Coro: B
keyb",14 x 17.5 cm
1874-Golden-EMU,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",13 x 17.5 cm
1874-Palmof-EMU,"V, Coro, keyb","S
(A)
Coro S
Coro A
Coro T
Coro B
keyb",17.5 x 25 cm
1876-Bibles-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",21.5 x 16 cm
1875-Devoti-EMU,Nil,Nil,15 x 10.5 cm
1875-Gospel-EMU,"V (2), Coro","S
A
Coro 1: S
Coro 1: A
Coro 1: T
Coro 1: B
Coro 2: S
Coro 2: A
Coro 2: T
Coro 2: B
(keyb)",19 x 13 cm
1876-Melodi-EMU,"S, Coro, keyb","S
Coro 1: S
Coro 1: A
Coro 1: T
Coro 1: B
Coro 2: S
Coro 2: A
keyb",14 x 18 cm
1876-Storyo-EMU,"V, Coro","S (T)
Coro",19.5 x 14 cm
1877-Jasper-EMU,"V (6), Coro, keyb","S (2)
A (2)
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",14.5 x 18 cm
1877-Mornin-EMU,"V (2), Coro, org","S
A
(T)
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",20 x 13 cm
1877-Newmel-EMU,"S, Coro, keyb","S
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro: T
Coro: B
keyb",14.5 x 18 cm
1878-Golden-EMU,"S, Coro, keyb","S 
(A)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro: T
Coro: B
keyb",13.5 x 17.5 cm
1878-Gospe1-EMU,"S, Coro, keyb","S 
(A)
(T)
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13 cm
1878-Gospe2-EMU,"T, Bariton, Coro, keyb","T
(T)
Bariton
Coro T (2)
Coro B (2)
keyb",16 x 24 cm
1878-Helpin-EMU,"Coro, keyb","(S)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro A
Coro T
Coro B
keyb",13.5 x 17.5 cm
1878-Hymnal-EMU,Coro,"S
(A)
Coro S
Coro A
Coro T
Coro B
keyb",18.5 x 13 cm
1878-Lastwo-EMU,"S, A, Coro","S
A
Coro S
Coro A
Coro T
Coro B
keyb",14.5 x 18 cm
1878-Revivi-EMU,Nil,Nil,13.5 x 10 cm
1878-Tiding-EMU,"T, Coro, keyb","T
Coro S
Coro A
Coro T
Coro B
keyb",13.5 x 10 cm
1879-Bapti2-EMU,V,V (2),12 x 8 cm
1879-Primit-EMU,"S, A, Coro, org","S
A
(T)
Coro S
Coro A
Coro T
Coro B
org",20 x 15 cm
1879-Sacred-EMU,Nil,Nil,12.5 x 9 cm
1879-Songvi-EMU,"S, Coro, keyb","S
Coro S
Coro A
Coro T
Coro B
keyb",13.5 x 17.5 cm
1879-Wreath-EMU,"V (5), Coro, keyb","S (2)
A (2)
T
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",17.5 x 14.5 cm
1880-Childr-EMU,"V (3), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",17 x 13.5 cm
1880-Hymnsx-EMU,Nil,Nil,
1880-Joyand-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
(tr)
keyb",14.5 x 17.5 cm
1880-Newhy1-EMU,"V, Coro, keyb","Treble
(A)
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",19 x 13.5 cm
1880-Newhy2-EMU,Nil,Nil,
1880-Songse-EMU,"S, A, Coro","S
A
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",16.5 x 14 cm
1912-Tribut-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1881-Evange-EMU,V,"Coro 1: V
Coro 2: V",18.5 x 13 cm
1881-Himnar-EMU,"S, A, Coro, keyb","S
A
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",18 x 13 cm
1881-Redeem-EMU,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A 
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B",14.5 x 18.5 cm
1881-Twilig-EMU,Coro,"Coro di fanciulli: Treble
Coro di fanciulli: A
Coro: T
Coro: B",13 x 17 cm
1882-Gracea-EMU,"S, A, Coro, keyb","S (3)
A
Coro S
Coro A
Coro T
Coro B
keyb",15 x 18 cm
1882-Juveni-EMU,"S (7), A, Coro, keyb","S (7)
A
Coro di fancuilli 1: S
Coro di fanciulli 2: S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro: T
Coro: B
keyb",14 x 19.5 cm
1882-NewChr-EMU,Coro,"S
A
T
B
Coro
keyb",20 x 13 cm
1882-Psalms-EMU,Coro,"S
Coro S
Coro A
Coro T
Coro B
(keyb)",21 x 15.5 cm
1882-Realmo-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S (2)
Coro A
Coro T (2)
Coro B (2)
keyb",16.5 x 24 cm
1882-Singin-EMU,"S, Coro, org","S
(A)
Coro S
Coro A
Coro T
Coro B
org",21 x 13.5 cm
1883-Better-EMU,Coro,"Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",12.5 x 17.5 cm
1883-Bookof-EMU,V,V,13 x 8 cm
1883-Duplex-EMU,Coro,"Coro S
Coro A
Coro T
Coro B
(keyb)",14.5 x 9 cm
1883-Holyvo-EMU,"S, A, Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",14 x 18 cm
1883-Lovean-EMU,"V (4), Coro di fanciulli, Coro, org","S
A
T
B
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro A
Coro T
Coro B
org",13 x 17.5 cm
1883-Purede-EMU,"V (2), Coro, keyb","S
A
(T)
(B)
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
keyb",13.5 x 18 cm
1883-Select-EMU,V,V,13 x 8 cm
1883-Shaker-EMU,Coro,"Coro S (2)
Coro A
Coro T
Coro B",23.5 x 15.5 cm
1883-Songso-EMU,"Coro, Coro maschile, keyb","Coro: S
Coro: A
Coro: T (2)
Coro: B (2)
keyb",20 x 13.5 cm
1883-Teache-EMU,"S (2), A, Coro, keyb","S (2)
A
(Bariton)
Coro S
Coro A
Coro T
Coro B
keyb",17.5 x 24 cm
1883-Triune-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",21 x 14.5 cm
1883-Voiceo-EMU,"V (4), Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",14.5 x 18 cm
1884-Congre-EMU,"S, A, Coro","S
A
(T)
Coro S
Coro A
Coro T
Coro B
(keyb)",17.5 x 15 cm
1884-Consol-EMU,"V (4), Coro, Coro maschile, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro maschile T (2)
Coro B
Coro maschile B (2)
keyb",20 x 14 cm
1884-Everla-EMU,"Coro, keyb","Coro S
Coro A
Coro T
Coro B
keyb","Hymns, English;African Methodist Episcopal Church--Hymns;Choruses, sacred (mixed voices), unaccompanied;Choruses, sacred (unison) with keyboard;Anthems;Chants;Gospel music;Hymnals;Funeral hymns;Church music--African Methodist Episcopal Church;Sunday school music;Prayer meetings--Songs and music;African Americans--Music;Christmas hymns;Juneteenth--Songs and music;Reedy Chapel A.M.E. Church (Galveston, Tex.);Musical instruments--Advertising;Music in African American universities and colleges;American Antiquarian Society--Provenance;Hartford Theological Seminary--Provenance;African Americans--Music"
1884-Gospel-EMU,"S, T, Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",21 x 13.5 cm
1884-Gratef-EMU,"V (3-5) A, Coro, keyb","S (3)
A
T
Coro S 
Coro A
Coro T
Coro B
keyb",14 x 18 cm
1884-Harves-EMU,"S, Coro, keyb","S
Coro S
Coro A 
Coro T
Coro B
keyb",19.5 x 13.5 cm
1884-Hymnbo-EMU,Nil,Nil,13.5 x 9 cm
1884-Jesus1-EMU,"V (5), Coro, keyb","S (2) 
A
T
(Bariton)
(Coro infantile S)
Coro S
Coro A
Coro T
(Coro maschile T)
Coro B
(Coro maschile B)
keyb",23.5 x 15 cm
1884-Ourson-EMU,"V (5), Coro, keyb","S
A
T
Bariton
B
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
keyb",17 x 24.5 cm
1884-Praise-EMU,"V (3-5), Coro, keyb","S (3)
A
T
Coro S
Coro A
Coro T
Coro B
keyb",15 x 19 cm
1884-Sabbat-EMU,"V (3-4), Coro, keyb","S (2)
A
(T)
Coro di fanciulli 1: S 
Coro di fanciulli 2: S
Coro S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro A
Coro T
Coro B
keyb",21 x 14 cm
1884-Temple-EMU,"V (4), Coro, keyb","Treble
A
T
B
Coro S
Coro A
Coro T
Coro maschile T (2)
Coro B
Coro maschile B (2)
keyb",16.5 x 24.5 cm
1885-Freshf-EMU,"S, A, Coro, keyb","S
A
Coro di fanciulli S (2)
Coro S
Coro di fancuilli A (2)
Coro A
Coro T
Coro B
keyb",18 x 15 cm
1885-Golden-EMU,"Coro, Coro di fanciulli","Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B",23 x 15 cm
1885-Holyma-EMU,"S, Coro, keyb","S
Coro S
Coro A
Coro T
Coro B
keyb",22 x 14.5 cm
1885-Lofzan-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",21 x 13.5 cm
1885-Popula-EMU,"S, A, T, Coro","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
(keyb)",19.5 x 13.5 cm
1885-Revise-EMU,Nil,Nil,11.5 x 8.5 cm
1885-Zionso-EMU,"S, A, Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",14.5 x 18 cm
1886-Carols-EMU,"S, Coro, keyb","S
Coro S
Coro A
Coro T
Coro B
keyb",17.5 x 13 cm
1886-Childr-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
Bariton
Coro di fanciulli S (2)
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",14 x 18 cm
1890-Gospel-EMU,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",21 x 14 cm
1886-Greata-EMU,"S, Coro, Coro maschile, keyb","S
A
Coro S
Coro A
Coro T
Coro maschile T (2)
Coro B
Coro maschile B (2)
keyb",20.5 x 14 cm
1886-Joyand-EMU,"V (4), Coro, Coro di fanciulli, keyb","S
A
T
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",22 x 15 cm
1886-Newli1-EMU,Nil,Nil,15 x 10 cm
1886-Stream-EMU,"Bariton, Coro","Bariton
Coro S
Coro A
Coro T
Coro B",22 x 14.5 cm
1887-Songs1-EMU,"S, A, Coro, keyb","S
A
Coro di fancuilli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",14.5 x 17.5 cm
1887-Songs2-EMU,"V (5), Coro di fancuilli, Coro, keyb","S (3)
A
T
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",14 x 18 cm
1888-Gesang-EMU,Switzerland,http://vocab.getty.edu/page/tgn/7013596,13.5 x 8.5 cm
1888-Hymnst-EMU,"S, A, Coro, keyb","S
A
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",16 x 20.5 cm
1888-Ournew-EMU,"S, A, Coro","S
A
Coro S
Coro A
Coro T
Coro B",15 x 18.5 cm
1888-Royalp-EMU,"Coro di fanciulli, Coro, org","(S)
(T)
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
org",20 x 14 cm
1888-Sabbat-EMU,"S, Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro A
Coro T
Coro B
keyb",14 x 17.5 cm
1888-Songso-EMU,"V (4-7), Coro, keyb","S (1-4)
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",14 x 18 cm
1892-Standa-EMU,Coro,"(S)
(A)
Coro S
(Coro 2: S)
Coro A
(Coro 2: A)
Coro T
(Coro 2: T)
Coro B
(Coro 2: B)
(keyb)",22.5 x 16 cm
1889-Budsan-EMU,"Coro di fanciulli, Coro, keyb","Coro di fanciulli S
Coro di fanciulli A
Coro T
Coro B
keyb",19 x 16 cm
1889-Christ-EMU,"V (2-4), Coro, keyb","S
A
(T)
(B)
Coro S
(Coro 2: S)
Coro A
(Coro 2: A)
Coro T 
(Coro 2: T)
Coro B
(Coro 2: B)
keyb",21 x 15 cm
1889-Cumber-EMU,"S, Coro, org","S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",21.5 x 15 cm
1889-Easte1-EMU,Coro,"(S)
(A)
(T)
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B",14.5 x 19.5 cm
1889-Evange-EMU,Nil,Nil,15 x 11 cm
1889-Gospel-EMU,Coro,"Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B",20.5 x 13.5 cm
1889-Hymnan-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",22 x 15 cm
1889-Hymnsf-EMU,Nil,Nil,33 x 18.5 cm
1889-Missio-EMU,"S, Coro, org","S
Coro S
Coro A
Coro T
Coro B
org",20 x 13.5 cm
1889-Newvoi-EMU,"V (4), Coro, keyb","S
A
T
B
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20.5 x 14 cm
1889-Ourhym-EMU,Nil,Nil,22.5 x 15 cm
1889-Sacred-EMU,"V (1-4), Coro, keyb","S
(A)
(T)
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",21 x 14.5 cm
1889-Songge-EMU,"S, A, Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",15 x 20 cm
1889-Window-EMU,"V (3), Coro, keyb","S (1-2)
A
(T) (1-2)
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
188x-Songso-EMU,"V (2-4), Coro, keyb","S
A
(T)
(B)
Coro S
Coro A
Coro T
Coro B
keyb",
1890-Christ-EMU,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
keyb",
1890-Mornin-EMU,"V (1-4), Coro, keyb","S
(A)
(T)
(B)
Coro 1: Treble 
Coro 2: Treble
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",14 x 17.5 cm
1890-Pureso-EMU,"V (3), Coro, keyb","S
A
T
Coro S
(Coro 2: S)
Coro A
(Coro 2: A)
Coro T
(Coro 2: T)
Coro B
(Coro 2: B)
keyb",21 x 14.5 cm
1892-Reviva-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1890-YMCAgo-EMU,"V (5), Coro maschile, keyb","T (2)
Bariton
B (2)
Coro maschile T (2)
Coro maschile B (2)
keyb",20.5 x 16 cm
1891-Bright-EMU,"Coro di fanciulle, Coro, kornetto (2), org","Coro di fanciulle 1: S
Coro di fanciulle 2: S
Coro di fanciulle 1: A
Coro di fanciulle 2: A
Coro T
Coro B
kornetto (2)
org",22.5 x 14.5 cm
1891-Select-EMU,Nil,Nil,15 x 11 cm
1891-Servic-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",20 x 19.5 cm
1891-Songsf-EMU,"V (3-4), Coro, keyb","S
A
T
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20.5 x 14 cm
1891-Soothi-EMU,"Coro, (keyb)","Coro S
Coro A
Coro T
Coro B
(keyb)",22 x 15 cm
1892-Gabrie-EMU,"V (11), Coro di fanciulle, Coro, keyb","S (6)
A
T (2)
B (2)
Coro di fanciulle 1: S
Coro di fanciulle 2: S
Coro di fanciulle 3: S
Coro di fanciulle 4: S
Coro S
Coro di fanciulle 1: A
Coro di fanciulle 2: A
Coro di fanciulle 3: A
Coro di fanciulle 4: A
Coro A
Coro T
Coro B
keyb",20 x 14 cm
1892-Songso-EMU,"V (2), Coro di fanciulle, Coro, keyb","S
A
Coro di fanciulle 1: S
Coro di fanciulle 2: S
Coro 1: S
Coro 2: S
Coro di fanciulle 1: A
Coro di fanciulle 2: A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20 x 14 cm
1892-Womans-EMU,"Coro femminile, org","Coro femminile S
Coro femminile A (1-2)
(Coro maschile T)
(Coro maschile B)
org",19.5 x 16 cm
1892-Wordso-EMU,"V (5), Coro, org","S
Mezzo-S
A
T
(Bariton)
B
Coro S
(Coro 2: S)
Coro A
(Coro 2: A)
Coro T
(Coro 2: T)
Coro B
(Coro 2: B)
org",21 x 15 cm
1893-Epwort-EMU,"V (8), Coro di fanciulle, Coro, keyb","S (2)
A (2)
T (2)
B (2)
Coro di fanciulle S
Coro S
Coro di fanciulle A
Coro A
Coro T
Coro B
keyb",20 x 14 cm
1893-Harpof-EMU,"V (4), Coro, campana, org","S
A
T
B
Coro di fanciulle 1: S
Coro di fanciulle 2: S
Coro 1: S
Coro 2: S
Coro di fanciulle 1: A
Coro di fanciulle 2: A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
(kornetto)
(trb)
campana
org",22 x 15 cm
1893-Hearts-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",14 x 18 cm
1893-Hymnso-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",21 x 16 cm
1893-Inhisn-EMU,"(V), Coro, org","(S)
(A)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",20 x 14 cm
1893-Lifean-EMU,"V (4), Coro, keyb","S
A
T
Bariton
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20 x 13 cm
1893-McInto-EMU,"V (6), Coro, keyb","S (2)
A
Contra-A
T
B
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro 1: T
Coro 2: T
Coro Bariton
Coro 1: B
(Coro 2: B)
keyb",19 x 26 cm
1893-Messen-EMU,"V (8), Coro, pf, org","S (2)
A
T (2)
Bariton
B (2)
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
pf
org",17 x 24.5 cm
1893-Musicf-EMU,"Coro, keyb","Coro S
Coro A
Coro T
Coro B
keyb",22 x 14.5 cm
1893-Psalms-EMU,"S, A, Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",22.5 x 18 cm
1894-Blosso-EMU,"V (6), Coro, org","S
A
T (2)
B (2)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",19 x 14 cm
1894-Bright-EMU,"(V), Coro, keyb","(S)
(A)
Coro S
Coro A
Coro T
Coro B
keyb",15 x 19 cm
1894-Crowni-EMU,"V (6), Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T (2)
Coro B (2)
keyb",25 x 18 cm
1894-Lifean-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
Bariton
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro di fanciulli A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20 x 14 cm
1894-Reviva-EMU,"V (4), Coro, keyb","S
Mezzo-S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",19 x 14.5 cm
1894-Select-EMU,"Coro, (keyb)","Coro S
Coro A
Coro T
Coro B
(keyb)",14 x 18 cm
1895-Chris1-EMU,"V (3), Coro, org","S
A
(Contra-A)
(T)
Coro S
Coro A
Coro T
Coro B
org",
1895-Glowin-EMU,"V (3), Coro, keyb","S
A
T
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20.5 x 14 cm
1895-Gospe1-EMU,"V (5), Coro, keyb","S (2)
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",19 x 12 cm
1895-Gospe2-EMU,"V (3), Coro, org (keyb)","S
A
T
Coro S
Coro A
Coro T
Coro B
org (keyb)",20 x 14 cm
1897-Nation-EMU,"V (6), Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",21.5 x 15 cm
